time,object,x,y,z
0,Sun,0,0,0
0,Earth,1,0,0
0,Jupiter,-5.2,0,0
0.00273785,Sun,0,0,0
0.00273785,Earth,1,0.0172024,0
0.00273785,Jupiter,-5.2,-0.00754238,0
0.0054757,Sun,-1.04396e-05,-1.51282e-08,0
0.0054757,Earth,0.999697,0.0343997,0
0.0054757,Jupiter,-5.19999,-0.0150847,0
0.00821355,Sun,-3.13187e-05,-6.05127e-08,0
0.00821355,Earth,0.999091,0.0515868,0
0.00821355,Jupiter,-5.19997,-0.0226271,0
0.0109514,Sun,-6.26374e-05,-1.51282e-07,0
0.0109514,Earth,0.998182,0.0687586,0
0.0109514,Jupiter,-5.19993,-0.0301693,0
0.0136893,Sun,-0.000104396,-3.02565e-07,0
0.0136893,Earth,0.996971,0.0859099,0
0.0136893,Jupiter,-5.19989,-0.0377116,0
0.0164271,Sun,-0.000156594,-5.29492e-07,0
0.0164271,Earth,0.995459,0.103036,0
0.0164271,Jupiter,-5.19984,-0.0452537,0
0.019165,Sun,-0.000219231,-8.47192e-07,0
0.019165,Earth,0.993645,0.120131,0
0.019165,Jupiter,-5.19977,-0.0527957,0
0.0219028,Sun,-0.000292309,-1.2708e-06,0
0.0219028,Earth,0.991531,0.13719,0
0.0219028,Jupiter,-5.19969,-0.0603377,0
0.0246407,Sun,-0.000375826,-1.81544e-06,0
0.0246407,Earth,0.989117,0.154209,0
0.0246407,Jupiter,-5.19961,-0.0678795,0
0.0273785,Sun,-0.000469783,-2.49626e-06,0
0.0273785,Earth,0.986404,0.171183,0
0.0273785,Jupiter,-5.19951,-0.0754212,0
0.0301164,Sun,-0.000574181,-3.32839e-06,0
0.0301164,Earth,0.983393,0.188105,0
0.0301164,Jupiter,-5.1994,-0.0829627,0
0.0328542,Sun,-0.000689019,-4.32696e-06,0
0.0328542,Earth,0.980085,0.204972,0
0.0328542,Jupiter,-5.19928,-0.090504,0
0.0355921,Sun,-0.000814297,-5.50713e-06,0
0.0355921,Earth,0.976481,0.221778,0
0.0355921,Jupiter,-5.19915,-0.0980451,0
0.0383299,Sun,-0.000950017,-6.88402e-06,0
0.0383299,Earth,0.972583,0.238519,0
0.0383299,Jupiter,-5.199,-0.105586,0
0.0410678,Sun,-0.00109618,-8.47279e-06,0
0.0410678,Earth,0.968391,0.255189,0
0.0410678,Jupiter,-5.19885,-0.113127,0
0.0438056,Sun,-0.00125278,-1.02886e-05,0
0.0438056,Earth,0.963907,0.271783,0
0.0438056,Jupiter,-5.19869,-0.120667,0
0.0465435,Sun,-0.00141982,-1.23466e-05,0
0.0465435,Earth,0.959132,0.288298,0
0.0465435,Jupiter,-5.19851,-0.128207,0
0.0492813,Sun,-0.00159731,-1.46619e-05,0
0.0492813,Earth,0.954068,0.304727,0
0.0492813,Jupiter,-5.19833,-0.135747,0
0.0520192,Sun,-0.00178523,-1.72497e-05,0
0.0520192,Earth,0.948716,0.321067,0
0.0520192,Jupiter,-5.19813,-0.143287,0
0.054757,Sun,-0.0019836,-2.01251e-05,0
0.054757,Earth,0.943079,0.337311,0
0.054757,Jupiter,-5.19792,-0.150826,0
0.0574949,Sun,-0.00219241,-2.33034e-05,0
0.0574949,Earth,0.937157,0.353457,0
0.0574949,Jupiter,-5.1977,-0.158365,0
0.0602327,Sun,-0.00241167,-2.67996e-05,0
0.0602327,Earth,0.930953,0.369498,0
0.0602327,Jupiter,-5.19747,-0.165904,0
0.0629706,Sun,-0.00264137,-3.0629e-05,0
0.0629706,Earth,0.924468,0.385431,0
0.0629706,Jupiter,-5.19723,-0.173443,0
0.0657084,Sun,-0.00288151,-3.48068e-05,0
0.0657084,Earth,0.917705,0.40125,0
0.0657084,Jupiter,-5.19698,-0.180981,0
0.0684463,Sun,-0.0031321,-3.93481e-05,0
0.0684463,Earth,0.910666,0.416951,0
0.0684463,Jupiter,-5.19672,-0.188518,0
0.0711841,Sun,-0.00339313,-4.42681e-05,0
0.0711841,Earth,0.903352,0.43253,0
0.0711841,Jupiter,-5.19644,-0.196055,0
0.073922,Sun,-0.00366461,-4.9582e-05,0
0.073922,Earth,0.895766,0.447982,0
0.073922,Jupiter,-5.19616,-0.203592,0
0.0766598,Sun,-0.00394653,-5.5305e-05,0
0.0766598,Earth,0.88791,0.463302,0
0.0766598,Jupiter,-5.19586,-0.211129,0
0.0793977,Sun,-0.0042389,-6.14523e-05,0
0.0793977,Earth,0.879787,0.478486,0
0.0793977,Jupiter,-5.19556,-0.218664,0
0.0821355,Sun,-0.00454172,-6.80392e-05,0
0.0821355,Earth,0.871399,0.49353,0
0.0821355,Jupiter,-5.19524,-0.2262,0
0.0848734,Sun,-0.00485498,-7.50808e-05,0
0.0848734,Earth,0.862748,0.50843,0
0.0848734,Jupiter,-5.19491,-0.233735,0
0.0876112,Sun,-0.00517869,-8.25924e-05,0
0.0876112,Earth,0.853838,0.52318,0
0.0876112,Jupiter,-5.19457,-0.241269,0
0.0903491,Sun,-0.00551285,-9.05891e-05,0
0.0903491,Earth,0.84467,0.537778,0
0.0903491,Jupiter,-5.19422,-0.248803,0
0.0930869,Sun,-0.00585746,-9.90863e-05,0
0.0930869,Earth,0.835247,0.552218,0
0.0930869,Jupiter,-5.19386,-0.256337,0
0.0958248,Sun,-0.00621252,-0.000108099,0
0.0958248,Earth,0.825572,0.566497,0
0.0958248,Jupiter,-5.19349,-0.26387,0
0.0985626,Sun,-0.00657803,-0.000117643,0
0.0985626,Earth,0.815649,0.58061,0
0.0985626,Jupiter,-5.1931,-0.271402,0
0.1013,Sun,-0.00695399,-0.000127733,0
0.1013,Earth,0.805479,0.594554,0
0.1013,Jupiter,-5.19271,-0.278934,0
0.104038,Sun,-0.00734041,-0.000138384,0
0.104038,Earth,0.795066,0.608324,0
0.104038,Jupiter,-5.19231,-0.286465,0
0.106776,Sun,-0.00773727,-0.000149613,0
0.106776,Earth,0.784413,0.621916,0
0.106776,Jupiter,-5.19189,-0.293996,0
0.109514,Sun,-0.00814459,-0.000161433,0
0.109514,Earth,0.773523,0.635328,0
0.109514,Jupiter,-5.19146,-0.301526,0
0.112252,Sun,-0.00856237,-0.00017386,0
0.112252,Earth,0.762399,0.648554,0
0.112252,Jupiter,-5.19102,-0.309055,0
0.11499,Sun,-0.00899059,-0.00018691,0
0.11499,Earth,0.751045,0.661591,0
0.11499,Jupiter,-5.19058,-0.316584,0
0.117728,Sun,-0.00942928,-0.000200598,0
0.117728,Earth,0.739462,0.674436,0
0.117728,Jupiter,-5.19012,-0.324112,0
0.120465,Sun,-0.00987842,-0.000214939,0
0.120465,Earth,0.727656,0.687084,0
0.120465,Jupiter,-5.18964,-0.331639,0
0.123203,Sun,-0.010338,-0.000229949,0
0.123203,Earth,0.715629,0.699533,0
0.123203,Jupiter,-5.18916,-0.339166,0
0.125941,Sun,-0.0108081,-0.000245643,0
0.125941,Earth,0.703385,0.711778,0
0.125941,Jupiter,-5.18867,-0.346692,0
0.128679,Sun,-0.0112886,-0.000262036,0
0.128679,Earth,0.690927,0.723817,0
0.128679,Jupiter,-5.18817,-0.354217,0
0.131417,Sun,-0.0117796,-0.000279143,0
0.131417,Earth,0.678259,0.735645,0
0.131417,Jupiter,-5.18765,-0.361741,0
0.134155,Sun,-0.012281,-0.00029698,0
0.134155,Earth,0.665384,0.74726,0
0.134155,Jupiter,-5.18713,-0.369265,0
0.136893,Sun,-0.0127929,-0.000315563,0
0.136893,Earth,0.652306,0.758657,0
0.136893,Jupiter,-5.18659,-0.376788,0
0.13963,Sun,-0.0133153,-0.000334907,0
0.13963,Earth,0.639028,0.769835,0
