# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.5	-0.5	0
-0.5	-0.475	0
-0.5	-0.45	0
-0.5	-0.425	0
-0.5	-0.4	0
-0.5	-0.375	0
-0.5	-0.35	0
-0.5	-0.325	0
-0.5	-0.3	0
-0.5	-0.275	0
-0.5	-0.25	0
-0.5	-0.225	0
-0.5	-0.2	0
-0.5	-0.175	0
-0.5	-0.15	0
-0.5	-0.125	0
-0.5	-0.1	0
-0.5	-0.075	0
-0.5	-0.05	0
-0.5	-0.025	0
-0.5	0	0
-0.5	0.025	0
-0.5	0.05	0
-0.5	0.075	0
-0.5	0.1	0
-0.5	0.125	0
-0.5	0.15	0
-0.5	0.175	0
-0.5	0.2	0
-0.5	0.225	0
-0.5	0.25	0
-0.5	0.275	0
-0.5	0.3	0
-0.5	0.325	0
-0.5	0.35	0
-0.5	0.375	0
-0.5	0.4	0
-0.5	0.425	0
-0.5	0.45	0
-0.5	0.475	0
-0.5	0.5	0

-0.475	-0.5	0
-0.475	-0.475	4.73084e-05
-0.475	-0.45	9.45938e-05
-0.475	-0.425	0.00014172
-0.475	-0.4	0.000188286
-0.475	-0.375	0.000233482
-0.475	-0.35	0.000275944
-0.475	-0.325	0.000313614
-0.475	-0.3	0.000343632
-0.475	-0.275	0.000362294
-0.475	-0.25	0.000365139
-0.475	-0.225	0.000347245
-0.475	-0.2	0.00030383
-0.475	-0.175	0.000231258
-0.475	-0.15	0.000128516
-0.475	-0.125	-9.10417e-07
-0.475	-0.1	-0.000147102
-0.475	-0.075	-0.000292487
-0.475	-0.05	-0.000412611
-0.475	-0.025	-0.000480273
-0.475	0	-0.00047332
-0.475	0.025	-0.00038358
-0.475	0.05	-0.000221239
-0.475	0.075	-1.04753e-05
-0.475	0.1	0.00021946
-0.475	0.125	0.000442066
-0.475	0.15	0.000637773
-0.475	0.175	0.000794788
-0.475	0.2	0.000907973
-0.475	0.225	0.000977015
-0.475	0.25	0.00100464
-0.475	0.275	0.000995223
-0.475	0.3	0.000953789
-0.475	0.325	0.00088543
-0.475	0.35	0.000794955
-0.475	0.375	0.000686729
-0.475	0.4	0.000564626
-0.475	0.425	0.000432054
-0.475	0.45	0.000292011
-0.475	0.475	0.000147174
-0.475	0.5	0

-0.45	-0.5	0
-0.45	-0.475	9.45938e-05
-0.45	-0.45	0.00018926
-0.45	-0.425	0.000283846
-0.45	-0.4	0.000377665
-0.45	-0.375	0.000469207
-0.45	-0.35	0.000555826
-0.45	-0.325	0.000633432
-0.45	-0.3	0.000696224
-0.45	-0.275	0.000736541
-0.45	-0.25	0.000744954
-0.45	-0.225	0.000710751
-0.45	-0.2	0.000623054
-0.45	-0.175	0.00047281
-0.45	-0.15	0.000255888
-0.45	-0.125	-2.27021e-05
-0.45	-0.1	-0.00034398
-0.45	-0.075	-0.00067109
-0.45	-0.05	-0.000949361
-0.45	-0.025	-0.00111446
-0.45	0	-0.00111115
-0.45	0.025	-0.000917875
-0.45	0.05	-0.000560228
-0.45	0.075	-9.7507e-05
-0.45	0.1	0.000401812
-0.45	0.125	0.000878891
-0.45	0.15	0.00129277
-0.45	0.175	0.00162061
-0.45	0.2	0.00185395
-0.45	0.225	0.00199416
-0.45	0.25	0.00204839
-0.45	0.275	0.00202665
-0.45	0.3	0.00193987
-0.45	0.325	0.0017988
-0.45	0.35	0.0016134
-0.45	0.375	0.00139259
-0.45	0.4	0.00114422
-0.45	0.425	0.000875104
-0.45	0.45	0.000591236
-0.45	0.475	0.000297919
-0.45	0.5	0

-0.425	-0.5	0
-0.425	-0.475	0.00014172
