step,msd
0,0.000625
1,0.00118143
2,0.00162264
3,0.00206755
4,0.00250711
5,0.00255802
6,0.0035725
7,0.00385108
8,0.00437925
9,0.00554204
10,0.00650482
11,0.00780779
12,0.00716002
13,0.00665818
14,0.00745498
15,0.00717839
16,0.00680452
17,0.00649943
18,0.00788419
19,0.00946911
20,0.0098401
21,0.0118615
22,0.0141754
23,0.0152028
24,0.0149438
25,0.0157058
26,0.0151398
27,0.0137768
28,0.013935
29,0.016293
30,0.0172395
31,0.0181337
32,0.0183417
33,0.0189979
34,0.0191318
35,0.0221762
36,0.0245042
37,0.0262583
38,0.0284627
39,0.0292003
40,0.0280754
41,0.028441
42,0.0278231
43,0.0280502
44,0.0286768
45,0.0284138
46,0.0285989
47,0.0297566
48,0.0273652
49,0.0262618
50,0.025604
51,0.0272245
52,0.031794
53,0.0338213
54,0.0354959
55,0.0331657
56,0.0369147
57,0.0382075
58,0.0384366
59,0.04087
60,0.0404941
61,0.0403082
62,0.0403884
63,0.0406626
64,0.0412113
65,0.0424064
66,0.0433573
67,0.0471503
68,0.045332
69,0.0451309
70,0.0444481
71,0.0468118
72,0.04615
73,0.0478074
74,0.0493362
75,0.0496964
76,0.050324
77,0.0494247
78,0.049165
79,0.0498637
80,0.0491798
81,0.0474958
82,0.0470657
83,0.0483537
84,0.0505527
85,0.0516336
86,0.0502698
87,0.0501014
88,0.0490117
89,0.048649
90,0.0498731
91,0.0507292
92,0.0538911
93,0.0526866
94,0.0549023
95,0.0536062
96,0.0540097
97,0.0567971
98,0.0561619
99,0.0577215
100,0.0592436
101,0.0603842
102,0.0602085
103,0.0635645
104,0.0642317
105,0.06699
106,0.0645698
107,0.0675848
108,0.0696034
109,0.0712905
110,0.0707394
111,0.068784
112,0.0697521
113,0.0737975
114,0.077941
115,0.081095
116,0.0803488
117,0.081482
118,0.0850177
119,0.0837562
120,0.0855028
121,0.0827214
122,0.0865439
123,0.0880471
124,0.0916642
125,0.0910583
126,0.0923795
127,0.0954652
128,0.0915821
129,0.0940138
130,0.0970293
131,0.0976246
132,0.0991496
133,0.100026
134,0.0986772
135,0.101859
136,0.105407
137,0.10438
138,0.105025
139,0.106986
140,0.105553
141,0.103641
142,0.102497
143,0.102299
144,0.0998472
145,0.0995891
146,0.1024
147,0.104252
148,0.10728
149,0.113748
150,0.111403
151,0.10953
152,0.10856
153,0.111823
154,0.110507
155,0.10849
156,0.102727
157,0.0995626
158,0.0988885
159,0.0948303
160,0.0982532
161,0.100964
162,0.0984057
163,0.100487
164,0.100511
165,0.101067
166,0.101443
167,0.0993565
168,0.0990367
169,0.0975955
170,0.0986046
171,0.0918181
172,0.0883533
173,0.0935423
174,0.0945663
175,0.0927666
176,0.0883152
177,0.0927576
178,0.0897201
179,0.0876772
180,0.0875104
181,0.0927483
182,0.0943354
183,0.0952378
184,0.0954657
185,0.0939542
186,0.0938569
187,0.092419
188,0.0919645
189,0.0940199
190,0.0956019
191,0.094941
192,0.0953148
193,0.0912815
194,0.094935
195,0.093145
196,0.0978431
197,0.0997999
198,0.097504
199,0.10158
200,0.107132
201,0.107312
202,0.103258
203,0.104058
204,0.107521
205,0.110523
206,0.111349
207,0.109186
208,0.118254
209,0.118353
210,0.119605
211,0.116781
212,0.120692
213,0.121867
214,0.121568
215,0.118263
216,0.113815
217,0.114909
218,0.1159
219,0.117517
220,0.111592
221,0.109991
222,0.10888
223,0.107743
224,0.112701
225,0.111401
226,0.109699
227,0.111876
228,0.111671
229,0.116155
230,0.108895
231,0.113097
232,0.114894
233,0.113786
234,0.113887
235,0.111559
236,0.112598
237,0.110117
238,0.111008
239,0.11029
240,0.113252
241,0.115094
242,0.117676
243,0.119687
244,0.11963
245,0.119323
246,0.121941
247,0.12895
248,0.132112
249,0.132665
250,0.135359
251,0.136496
252,0.13935
253,0.136596
254,0.138202
255,0.135805
256,0.130378
257,0.130617
258,0.130924
259,0.131442
260,0.133424
261,0.13561
262,0.134352
263,0.137913
264,0.141727
265,0.14075
266,0.143104
267,0.141186
268,0.138907
269,0.134053
270,0.130084
271,0.13111
272,0.138061
273,0.14598
274,0.147959
275,0.148295
276,0.15413
277,0.160365
278,0.154639
279,0.158562
280,0.163656
281,0.162772
282,0.166945
283,0.165859
284,0.165664
285,0.161563
286,0.16428
287,0.168527
288,0.169137
289,0.175451
290,0.172991
291,0.173875
292,0.171268
293,0.172998
294,0.178647
295,0.171466
296,0.173905
297,0.175392
298,0.176996
299,0.1779
300,0.176114
301,0.175232
302,0.175298
303,0.170276
304,0.16883
305,0.168932
306,0.16741
307,0.170077
308,0.174726
309,0.177905
310,0.177219
311,0.179613
312,0.18235
313,0.187155
314,0.185192
315,0.184994
316,0.182443
317,0.183864
318,0.186382
319,0.181589
320,0.181111
321,0.184289
322,0.188355
323,0.18471
324,0.186389
325,0.183363
326,0.182807
327,0.182756
328,0.183957
329,0.183178
330,0.186305
331,0.190507
332,0.196102
333,0.194149
334,0.194135
335,0.194792
336,0.193786
337,0.189224
338,0.183799
339,0.197234
340,0.200625
341,0.198593
342,0.197213
343,0.193231
344,0.194569
345,0.190563
346,0.187444
347,0.191082
348,0.190218
349,0.193722
350,0.193831
351,0.192176
352,0.189644
