Temperature,Magnetization,Chi
0.01,1,0
0.02,1,0
0.03,1,0
0.04,1,0
0.05,1,0
0.06,1,0
0.07,1,0
0.08,1,0
0.09,1,0
0.1,1,0
0.11,1,0
0.12,1,0
0.13,1,0
0.14,1,0
0.15,1,0
0.16,1,0
0.17,1,0
0.18,1,0
0.19,1,0
0.2,1,0
0.21,1,0
0.22,1,0
0.23,1,0
0.24,1,0
0.25,1,0
0.26,1,0
0.27,1,0
0.28,1,0
0.29,1,0
0.3,1,0
0.31,1,0
0.32,1,0
0.33,1,0
0.34,1,0
0.35,1,0
0.36,1,0
0.37,1,0
0.38,1,0
0.39,1,0
0.4,0.999999,7.77343e-08
0.41,1,0
0.42,1,0
0.43,0.999998,1.43895e-07
0.44,0.999996,2.09872e-07
0.45,0.999999,6.90972e-08
0.46,0.999996,2.00747e-07
0.47,0.999998,1.31649e-07
0.48,0.999988,7.48698e-07
0.49,0.999984,9.02742e-07
0.5,0.999983,8.1375e-07
0.51,0.999994,2.98713e-07
0.52,0.999983,9.02644e-07
0.53,0.999976,1.36763e-06
0.54,0.99997,1.80093e-06
0.55,0.999969,1.2429e-06
0.56,0.999953,1.94085e-06
0.57,0.999959,1.62034e-06
0.58,0.999933,2.98599e-06
0.59,0.999915,3.75424e-06
0.6,0.999911,3.73932e-06
0.61,0.999918,3.39242e-06
0.62,0.999866,4.72555e-06
0.63,0.999868,5.74504e-06
0.64,0.999829,6.79468e-06
0.65,0.999816,7.1613e-06
0.66,0.99977,8.46212e-06
0.67,0.99976,9.68657e-06
0.68,0.999738,9.90349e-06
0.69,0.999675,1.09601e-05
0.7,0.999599,1.32051e-05
0.71,0.999568,1.68759e-05
0.72,0.999521,1.63001e-05
0.73,0.999445,1.67089e-05
0.74,0.99941,1.85e-05
0.75,0.999295,1.98133e-05
0.76,0.999194,2.90656e-05
0.77,0.999091,3.45923e-05
0.78,0.99912,2.86827e-05
0.79,0.998871,4.16913e-05
0.8,0.998869,3.21826e-05
0.81,0.998744,3.79196e-05
0.82,0.998726,3.98321e-05
0.83,0.998433,4.93758e-05
0.84,0.998291,5.34805e-05
0.85,0.998273,4.74404e-05
0.86,0.998055,5.64797e-05
0.87,0.997804,6.38561e-05
0.88,0.997706,7.1835e-05
0.89,0.997375,7.45787e-05
0.9,0.997283,8.26604e-05
0.91,0.997088,7.84169e-05
0.92,0.996834,0.000101106
0.93,0.99662,9.93925e-05
0.94,0.996295,0.000128441
0.95,0.996041,0.000113538
0.96,0.995754,0.000125096
0.97,0.995366,0.000114747
0.98,0.994866,0.000128946
0.99,0.994919,0.000127206
1,0.994529,0.000153261
1.01,0.994236,0.000155829
1.02,0.993827,0.00015272
1.03,0.993329,0.000189659
1.04,0.992956,0.000188127
1.05,0.992486,0.000185131
1.06,0.992044,0.000210403
1.07,0.991713,0.000222123
1.08,0.991015,0.000224458
1.09,0.990675,0.000229358
1.1,0.99018,0.000271657
1.11,0.989409,0.00028965
1.12,0.988993,0.000243689
1.13,0.98833,0.000316967
1.14,0.988005,0.000347476
1.15,0.987134,0.000341243
1.16,0.986359,0.000344158
1.17,0.985736,0.00032437
1.18,0.985216,0.000353585
1.19,0.984144,0.000444193
1.2,0.983596,0.000425244
1.21,0.983175,0.000374329
1.22,0.981879,0.00047295
1.23,0.981126,0.000477896
1.24,0.980425,0.000546472
1.25,0.979196,0.000463994
1.26,0.978595,0.000499581
1.27,0.977616,0.000549896
1.28,0.97672,0.000565652
1.29,0.974855,0.000443767
1.3,0.974169,0.000573987
1.31,0.973526,0.000689761
1.32,0.972277,0.00073607
1.33,0.971274,0.000711353
1.34,0.969874,0.000717444
1.35,0.969071,0.000960805
1.36,0.967511,0.00091472
1.37,0.966131,0.00092153
1.38,0.965025,0.000833741
1.39,0.963513,0.000689692
1.4,0.962349,0.00081196
1.41,0.960398,0.000936046
1.42,0.95948,0.000924708
1.43,0.957908,0.00108445
1.44,0.956021,0.00108068
1.45,0.955305,0.00132052
1.46,0.95253,0.00127117
1.47,0.951465,0.00117049
1.48,0.949575,0.00115296
1.49,0.947344,0.00156508
1.5,0.945747,0.00136896
1.51,0.943162,0.00156001
1.52,0.942237,0.00162557
1.53,0.93949,0.00168876
1.54,0.937279,0.0019998
1.55,0.935916,0.00208231
1.56,0.933975,0.00178678
1.57,0.931673,0.00202756
1.58,0.928557,0.00188124
1.59,0.927494,0.00179161
1.6,0.92349,0.00228663
1.61,0.922258,0.00188361
1.62,0.91939,0.00230504
1.63,0.917542,0.00240257
1.64,0.914575,0.00248037
1.65,0.910956,0.00227396
1.66,0.909235,0.00235368
1.67,0.906095,0.00324497
1.68,0.903326,0.00273892
1.69,0.900811,0.00312946
1.7,0.8966,0.00247434
1.71,0.895308,0.0028812
1.72,0.891808,0.00307067
1.73,0.887248,0.00323327
1.74,0.88406,0.00318011
1.75,0.880831,0.00409768
1.76,0.877096,0.00353451
1.77,0.871938,0.00327517
1.78,0.869862,0.00422359
1.79,0.864808,0.00416249
1.8,0.860816,0.00423637
1.81,0.85851,0.00440138
1.82,0.852539,0.00431728
1.83,0.846877,0.00529119
1.84,0.84417,0.00537866
1.85,0.83915,0.00614196
1.86,0.833865,0.00678534
1.87,0.829351,0.00724078
1.88,0.825578,0.00491301
1.89,0.821076,0.00624293
1.9,0.814073,0.00762466
1.91,0.80863,0.00807362
1.92,0.80325,0.00689089
1.93,0.797638,0.00950355
1.94,0.791782,0.00875574
1.95,0.782641,0.00848678
1.96,0.783024,0.00880496
1.97,0.77341,0.0130595
1.98,0.763536,0.0140705
1.99,0.756886,0.0119862
2,0.752424,0.0133302
2.01,0.74327,0.0123541
2.02,0.735103,0.0150822
2.03,0.729753,0.0187414
2.04,0.719041,0.0182772
2.05,0.708215,0.0220655
2.06,0.695669,0.0192903
2.07,0.692523,0.0145786
2.08,0.67395,0.02773
2.09,0.666551,0.0211589
2.1,0.660571,0.0227404
2.11,0.64576,0.02811
2.12,0.628516,0.0318692
2.13,0.617966,0.0397769
2.14,0.604224,0.0364819
2.15,0.58015,0.0346959
2.16,0.58814,0.0510482
2.17,0.556661,0.0506357
2.18,0.536438,0.0789874
2.19,0.459393,0.25144
2.2,0.494981,0.128303
2.21,0.464537,0.14827
2.22,0.41395,0.233172
2.23,0.357093,0.299862
2.24,0.369105,0.165508
2.25,0.202346,0.801812
2.26,0.140951,0.572498
2.27,0.107386,0.336202
2.28,0.07013,0.136601
2.29,0.0775238,0.126667
2.3,0.0709775,0.0894435
2.31,0.101716,0.351126
2.32,0.0852113,0.107862
2.33,0.0546475,0.0832887
2.34,0.0854675,0.11215
2.35,0.0431813,0.038399
2.36,0.0573412,0.082062
2.37,0.0503662,0.0565656
2.38,0.0543937,0.0417741
2.39,0.0503262,0.0479145
2.4,0.0412688,0.0303456
2.41,0.0504637,0.0460635
2.42,0.0479887,0.0482468
2.43,0.0471913,0.0546461
2.44,0.03916,0.032148
2.45,0.0393812,0.0332676
2.46,0.03931,0.0320791
